,dist_type,layer,F-value,p-value
105,centroid_cosine_unit,42,4.629191512879168,0.0528
106,centroid_cosine_unit,43,4.638257814957881,0.0447
107,centroid_cosine_unit,44,4.68338827749926,0.0473
108,centroid_cosine_unit,45,4.691722986346156,0.0493
109,centroid_cosine_unit,46,4.031691379991161,0.08
110,centroid_cosine_unit,47,3.458134942155486,0.1214
111,centroid_cosine_unit,48,3.5291704176017995,0.116
112,centroid_cosine_unit,49,3.4436437337327224,0.1223
113,centroid_cosine_unit,50,3.651305542247653,0.1036
114,centroid_cosine_unit,51,3.4368817051695264,0.122
115,centroid_cosine_unit,52,3.154530819775218,0.144
116,centroid_cosine_unit,53,3.371809056913417,0.1227
117,centroid_cosine_unit,54,3.591428961196616,0.1119
118,centroid_cosine_unit,55,5.325242688518804,0.0386
119,centroid_cosine_unit,56,5.577469092013798,0.027
120,centroid_cosine_unit,57,5.870174426704819,0.0235
121,centroid_cosine_unit,58,5.774075283515184,0.0209
122,centroid_cosine_unit,59,5.53718307888216,0.0244
123,centroid_cosine_unit,60,6.193787251398121,0.0166
124,centroid_cosine_unit,61,6.468032967391793,0.0142
125,centroid_cosine_unit,62,6.8861988812742325,0.0101
126,centroid_euclidean,0,5.171532962831147,0.021
127,centroid_euclidean,1,8.506001255235255,0.009
128,centroid_euclidean,2,6.5400170069647565,0.0143
129,centroid_euclidean,3,6.347838129259255,0.0126
130,centroid_euclidean,4,6.049165434166083,0.0171
131,centroid_euclidean,5,2.842609580610102,0.1496
132,centroid_euclidean,6,3.3967807252915856,0.0999
133,centroid_euclidean,7,3.717192951873357,0.0774
134,centroid_euclidean,8,3.9550744633862607,0.0678
135,centroid_euclidean,9,3.5255941097630483,0.0872
136,centroid_euclidean,10,2.9430303326949687,0.1267
137,centroid_euclidean,11,5.790803410033103,0.0244
138,centroid_euclidean,12,4.141921874463342,0.0515
139,centroid_euclidean,13,4.145786017275938,0.0589
140,centroid_euclidean,14,5.543174528917922,0.025
141,centroid_euclidean,15,1.5732442424814417,0.3506
142,centroid_euclidean,16,1.3052840553676697,0.4217
143,centroid_euclidean,17,0.09505463473983168,0.9429
144,centroid_euclidean,18,0.18266358016354106,0.8863
145,centroid_euclidean,19,0.4386132185926519,0.7139
146,centroid_euclidean,20,0.28691944852076895,0.8077
147,centroid_euclidean,21,1.2365727035605614,0.4313
148,centroid_euclidean,22,1.0463127309747395,0.4685
149,centroid_euclidean,23,1.4254036810736423,0.386
150,centroid_euclidean,24,0.5753334790421423,0.6758
151,centroid_euclidean,25,0.3844090310309257,0.7374
152,centroid_euclidean,26,0.941777785774027,0.4413
153,centroid_euclidean,27,4.355586167769719,0.0377
154,centroid_euclidean,28,0.7360546666429516,0.5353
155,centroid_euclidean,29,1.8191527361958115,0.2039
156,centroid_euclidean,30,0.7365133109279886,0.5353
157,centroid_euclidean,31,1.1746241729829212,0.3803
158,centroid_euclidean,32,1.3859606901314303,0.2999
159,centroid_euclidean,33,2.454452999366518,0.1143
160,centroid_euclidean,34,2.1451914542723984,0.1581
161,centroid_euclidean,35,2.459327947448735,0.1139
162,centroid_euclidean,36,2.0749121237307757,0.173
163,centroid_euclidean,37,2.9177963552790094,0.0779
164,centroid_euclidean,38,3.6959467279900378,0.0424
165,centroid_euclidean,39,2.30229329864554,0.143
166,centroid_euclidean,40,1.7334671883194614,0.2478
167,centroid_euclidean,41,2.700949443415317,0.1011
168,centroid_euclidean,42,2.9834469037313833,0.0812
169,centroid_euclidean,43,3.1558564935459534,0.0719
170,centroid_euclidean,44,2.983927874664984,0.0855
171,centroid_euclidean,45,3.3817447376107626,0.0566
172,centroid_euclidean,46,3.2896499544066238,0.0671
173,centroid_euclidean,47,2.1433373971209413,0.1631
174,centroid_euclidean,48,1.9299085953334902,0.1887
175,centroid_euclidean,49,1.3256911943105922,0.3076
176,centroid_euclidean,50,1.5782966220911852,0.2615
177,centroid_euclidean,51,1.461622249355002,0.2884
178,centroid_euclidean,52,1.319703209924063,0.3297
179,centroid_euclidean,53,2.089032446847511,0.1859
180,centroid_euclidean,54,2.0444000659179484,0.2063
181,centroid_euclidean,55,2.755039872963678,0.1279
182,centroid_euclidean,56,3.636496998604512,0.0764
183,centroid_euclidean,57,4.0839522833046,0.0621
184,centroid_euclidean,58,4.814656344424369,0.0379
185,centroid_euclidean,59,4.359875709645456,0.0461
186,centroid_euclidean,60,4.539647934920468,0.0361
187,centroid_euclidean,61,5.067882363905248,0.0263
188,centroid_euclidean,62,5.879849703266188,0.0139
189,centroid_euclidean_unit,0,5.170546505927115,0.0201
190,centroid_euclidean_unit,1,7.430351733222991,0.0148
191,centroid_euclidean_unit,2,5.2882297835000305,0.0254
192,centroid_euclidean_unit,3,5.318544189200635,0.0223
193,centroid_euclidean_unit,4,5.4898812474232495,0.0221
194,centroid_euclidean_unit,5,3.1170470085208737,0.1163
195,centroid_euclidean_unit,6,3.5900721462177163,0.0856
196,centroid_euclidean_unit,7,3.587466800565186,0.0855
197,centroid_euclidean_unit,8,3.6460921773533315,0.0891
198,centroid_euclidean_unit,9,2.549729691005704,0.1748
199,centroid_euclidean_unit,10,3.3523011481424794,0.0983
200,centroid_euclidean_unit,11,4.168217737764232,0.0624
201,centroid_euclidean_unit,12,3.950766376342148,0.0792
202,centroid_euclidean_unit,13,4.07559359978989,0.0692
203,centroid_euclidean_unit,14,5.039145369968616,0.0359
204,centroid_euclidean_unit,15,2.4448863384802135,0.1749
205,centroid_euclidean_unit,16,2.551377637713769,0.1769
206,centroid_euclidean_unit,17,0.2723722881048863,0.8329
207,centroid_euclidean_unit,18,0.9275851025703452,0.5687
208,centroid_euclidean_unit,19,1.370891743869604,0.3976
209,centroid_euclidean_unit,20,1.2542590681383172,0.4463
210,centroid_euclidean_unit,21,1.7375826800198082,0.3189
211,centroid_euclidean_unit,22,1.2083683308333177,0.4712
212,centroid_euclidean_unit,23,0.9614569593332153,0.5433
213,centroid_euclidean_unit,24,0.8359536819885414,0.6472
214,centroid_euclidean_unit,25,0.7012699980003845,0.7031
215,centroid_euclidean_unit,26,1.4186552417310334,0.4254
216,centroid_euclidean_unit,27,1.6355673194783569,0.3762
217,centroid_euclidean_unit,28,3.259002902645431,0.1528
218,centroid_euclidean_unit,29,3.0863497666277033,0.1731
219,centroid_euclidean_unit,30,3.8629005534255674,0.098
220,centroid_euclidean_unit,31,5.263297496405447,0.0406
221,centroid_euclidean_unit,32,8.07212653280796,0.0075
222,centroid_euclidean_unit,33,9.989307289643335,0.0039
223,centroid_euclidean_unit,34,5.737291579571519,0.0355
224,centroid_euclidean_unit,35,3.8285779718231026,0.1104
225,centroid_euclidean_unit,36,3.400964161201013,0.1343
226,centroid_euclidean_unit,37,4.025421843016192,0.0917
227,centroid_euclidean_unit,38,6.596230837034906,0.0225
228,centroid_euclidean_unit,39,6.301618984946834,0.025
229,centroid_euclidean_unit,40,6.73662336377477,0.0203
230,centroid_euclidean_unit,41,6.976209077032053,0.0199
231,centroid_euclidean_unit,42,7.011013728527102,0.0185
232,centroid_euclidean_unit,43,7.256194704489348,0.016
233,centroid_euclidean_unit,44,7.190453401847776,0.0161
234,centroid_euclidean_unit,45,6.749758552071569,0.0203
235,centroid_euclidean_unit,46,6.186324042213906,0.0307
236,centroid_euclidean_unit,47,5.528008475284047,0.0368
237,centroid_euclidean_unit,48,5.630226971163259,0.0403
238,centroid_euclidean_unit,49,5.488071894278293,0.0431
239,centroid_euclidean_unit,50,5.715188057801291,0.0386
240,centroid_euclidean_unit,51,5.49113512049899,0.0409
241,centroid_euclidean_unit,52,5.219546906077916,0.0479
242,centroid_euclidean_unit,53,5.636060189153012,0.037
243,centroid_euclidean_unit,54,5.92365947813519,0.0331
244,centroid_euclidean_unit,55,8.61414744010774,0.0065
245,centroid_euclidean_unit,56,9.317685927762675,0.006
246,centroid_euclidean_unit,57,9.721846683737446,0.0042
247,centroid_euclidean_unit,58,10.155851790477467,0.0036
248,centroid_euclidean_unit,59,10.02182558301953,0.0035
249,centroid_euclidean_unit,60,10.409371963882654,0.0042
250,centroid_euclidean_unit,61,10.77323909160897,0.003
251,centroid_euclidean_unit,62,11.197119976614072,0.0031
252,earth_mover,0,13.038787715822487,0.0047
253,earth_mover,1,17.239170528478034,0.0009
254,earth_mover,2,14.492775618119278,0.0019
255,earth_mover,3,14.750601795645073,0.0014
256,earth_mover,4,15.68472074968031,0.0017
257,earth_mover,5,13.071846754814555,0.0025
258,earth_mover,6,12.262457484389365,0.0048
259,earth_mover,7,13.107305555199622,0.0058
260,earth_mover,8,10.699344674857565,0.0192
261,earth_mover,9,12.37349895819183,0.0095
262,earth_mover,10,12.008880895889671,0.0118
263,earth_mover,11,9.113585515417107,0.0236
264,earth_mover,12,13.117685078450737,0.0097
265,earth_mover,13,13.381921562435407,0.0105
266,earth_mover,14,14.052307591066636,0.0087
267,earth_mover,15,3.7521926785913085,0.1854
268,earth_mover,16,3.9558681282144357,0.1484
269,earth_mover,17,0.9341694731474478,0.5565
270,earth_mover,18,1.1991055515477862,0.4895
271,earth_mover,19,1.4073490772920292,0.4564
272,earth_mover,20,1.2621760162393707,0.4919
273,earth_mover,21,1.2019848538295597,0.4713
274,earth_mover,22,1.6747629913367843,0.3617
275,earth_mover,23,1.9672386449365407,0.2957
276,earth_mover,24,0.8885777507404884,0.593
277,earth_mover,25,0.9674166893704802,0.5455
278,earth_mover,26,1.8656757666955373,0.3098
279,earth_mover,27,4.8559240729723125,0.0649
280,earth_mover,28,2.90735853747527,0.1661
281,earth_mover,29,4.320781990412404,0.0807
282,earth_mover,30,2.3661941238959097,0.188
283,earth_mover,31,2.645723714948422,0.1514
284,earth_mover,32,2.9790415756012476,0.1045
285,earth_mover,33,4.857413894341541,0.0279
286,earth_mover,34,4.397085593951914,0.053
287,earth_mover,35,3.687582708206218,0.0801
288,earth_mover,36,3.1060556454847235,0.1072
289,earth_mover,37,5.024566814214705,0.0485
290,earth_mover,38,6.19521969033217,0.0258
291,earth_mover,39,4.375303772275482,0.0465
292,earth_mover,40,3.5070318042645283,0.0862
293,earth_mover,41,5.235237290010969,0.041
294,earth_mover,42,5.14112112084759,0.046
295,earth_mover,43,5.603169044589101,0.0322
296,earth_mover,44,5.726028402346476,0.0242
297,earth_mover,45,6.130169425820967,0.0182
298,earth_mover,46,5.653227327874808,0.0238
299,earth_mover,47,4.671023220841294,0.057
300,earth_mover,48,4.607332063326736,0.0534
301,earth_mover,49,3.4951416060300398,0.1049
302,earth_mover,50,4.599798717236399,0.0657
303,earth_mover,51,4.550469733585724,0.0715
304,earth_mover,52,4.571157549060133,0.0759
305,earth_mover,53,6.476147091716169,0.0327
306,earth_mover,54,6.506813737732764,0.0349
307,earth_mover,55,8.035431234067769,0.0175
308,earth_mover,56,9.363504043532004,0.0149
309,earth_mover,57,12.278533300752306,0.0073
310,earth_mover,58,16.614417840459225,0.002
311,earth_mover,59,15.330804212074657,0.0022
312,earth_mover,60,14.984995721114322,0.0006
313,earth_mover,61,14.925059061224125,0.0012
314,earth_mover,62,16.492046230522533,0.0007
315,earth_mover_unit,0,13.035864190379085,0.0033
316,earth_mover_unit,1,17.200469285441287,0.0014
317,earth_mover_unit,2,14.56734227440594,0.0023
318,earth_mover_unit,3,15.358992918429772,0.002
319,earth_mover_unit,4,16.294699626636785,0.0016
320,earth_mover_unit,5,13.904466513399967,0.0026
321,earth_mover_unit,6,13.066229847528462,0.0049
322,earth_mover_unit,7,12.439397793405764,0.0065
323,earth_mover_unit,8,9.151712517740469,0.0278
324,earth_mover_unit,9,7.052736528025549,0.0621
325,earth_mover_unit,10,11.22405365277234,0.0188
326,earth_mover_unit,11,6.900033550193909,0.1094
327,earth_mover_unit,12,10.793832362023393,0.0193
328,earth_mover_unit,13,12.936753553900514,0.0142
329,earth_mover_unit,14,16.72901293058936,0.0066
330,earth_mover_unit,15,8.201316602349332,0.0893
331,earth_mover_unit,16,8.600999315861904,0.062
332,earth_mover_unit,17,1.4280248216397342,0.5343
333,earth_mover_unit,18,2.6254349656246627,0.2605
334,earth_mover_unit,19,3.0905189907215136,0.2096
335,earth_mover_unit,20,3.3094826217648663,0.1849
336,earth_mover_unit,21,3.857370880259778,0.1198
337,earth_mover_unit,22,3.3246806950389844,0.1805
338,earth_mover_unit,23,2.6886643236262677,0.2374
339,earth_mover_unit,24,1.1987826548118374,0.5101
340,earth_mover_unit,25,1.1443702169057492,0.5145
341,earth_mover_unit,26,2.913271523136337,0.2304
342,earth_mover_unit,27,3.705629075434596,0.1847
343,earth_mover_unit,28,6.861164206481773,0.0653
344,earth_mover_unit,29,5.2535945083800115,0.0946
345,earth_mover_unit,30,4.285034623002977,0.1327
346,earth_mover_unit,31,6.010878139667301,0.0473
347,earth_mover_unit,32,8.003931922100621,0.017
348,earth_mover_unit,33,8.315450550505686,0.0188
349,earth_mover_unit,34,4.098515894369023,0.1052
350,earth_mover_unit,35,2.9164543515859593,0.1925
351,earth_mover_unit,36,2.8755037467170927,0.1836
352,earth_mover_unit,37,3.882276608609577,0.1102
353,earth_mover_unit,38,4.992991863056384,0.0617
354,earth_mover_unit,39,5.142781755345024,0.0511
355,earth_mover_unit,40,5.305446951825358,0.0465
356,earth_mover_unit,41,5.514242915604229,0.0553
357,earth_mover_unit,42,5.56917411678373,0.0536
358,earth_mover_unit,43,5.731343917561347,0.0492
359,earth_mover_unit,44,5.91555204295188,0.0492
360,earth_mover_unit,45,5.993040522923875,0.0386
361,earth_mover_unit,46,5.831972312773375,0.0425
362,earth_mover_unit,47,5.39089470090118,0.0564
363,earth_mover_unit,48,5.640722148632115,0.0488
364,earth_mover_unit,49,5.460001051779197,0.055
365,earth_mover_unit,50,5.8799234181135045,0.0461
366,earth_mover_unit,51,5.615519116193645,0.0515
367,earth_mover_unit,52,5.506286010720896,0.0558
368,earth_mover_unit,53,6.162972449965645,0.0435
369,earth_mover_unit,54,6.680206118926432,0.0368
370,earth_mover_unit,55,9.17558802562079,0.0114
371,earth_mover_unit,56,10.242096394852956,0.0097
372,earth_mover_unit,57,11.10501807870449,0.0081
373,earth_mover_unit,58,16.938617099027873,0.0013
374,earth_mover_unit,59,18.833836234047478,0.0011
375,earth_mover_unit,60,21.212548745793974,0.001
376,earth_mover_unit,61,22.877055234400615,0.0008
377,earth_mover_unit,62,22.83207853631468,0.0004
378,energy,0,3.4067457493500832,0.0567
379,energy,1,7.036339933295022,0.0106
380,energy,2,4.52293621142582,0.0294
381,energy,3,4.329567964139713,0.031
382,energy,4,4.0725284065326885,0.0364
383,energy,5,2.2847871443411703,0.1862
384,energy,6,2.439433178485567,0.1692
385,energy,7,2.527219670075843,0.1551
386,energy,8,2.666662646343659,0.1458
387,energy,9,2.3874853897275314,0.1786
388,energy,10,2.2788213091468967,0.1793
389,energy,11,4.333425699638449,0.0488
390,energy,12,2.381647088134609,0.164
391,energy,13,2.420563009780968,0.152
392,energy,14,3.1581360033314057,0.0825
393,energy,15,1.3159938503738462,0.4002
394,energy,16,1.2759004079134593,0.4232
395,energy,17,0.027233842224813423,0.9809
396,energy,18,0.11184387682142326,0.9248
397,energy,19,0.10060854175234647,0.9245
398,energy,20,0.27924764219058773,0.8262
399,energy,21,0.6801417892827373,0.6488
400,energy,22,0.4322077707698716,0.7259
401,energy,23,0.7845866123339003,0.5828
402,energy,24,0.5469428808720287,0.708
403,energy,25,0.45358678522674095,0.7016
404,energy,26,1.4879210585737448,0.2917
405,energy,27,3.924504808250981,0.0477
406,energy,28,0.9162308515172031,0.4415
407,energy,29,1.4420943139220008,0.2848
408,energy,30,0.47825554873066717,0.6665
409,energy,31,0.5832556670202379,0.6175
410,energy,32,0.5816529144351462,0.6148
411,energy,33,1.312522416257886,0.3177
412,energy,34,1.2900647049688385,0.3257
413,energy,35,1.537413099718611,0.2696
414,energy,36,1.4476088934742983,0.2908
415,energy,37,2.4731945406828175,0.1156
416,energy,38,3.016800645262397,0.072
417,energy,39,1.5167573339645108,0.2694
418,energy,40,1.1300501918463866,0.3965
419,energy,41,1.9969274587702497,0.1676
420,energy,42,2.3538558869769193,0.1237
421,energy,43,2.420985331593913,0.1165
422,energy,44,2.3948490881647886,0.1232
423,energy,45,3.1760519682587445,0.0619
424,energy,46,3.0022938557308287,0.0686
425,energy,47,1.7238526463528423,0.2199
426,energy,48,1.421220750575918,0.2743
427,energy,49,0.8327052204713867,0.4685
428,energy,50,1.0393572913061093,0.4017
429,energy,51,0.8925426102744739,0.4687
430,energy,52,0.7237559942394829,0.5417
431,energy,53,1.266924308231911,0.3608
432,energy,54,1.1373943997540434,0.4025
433,energy,55,1.518103139408291,0.303
434,energy,56,1.9631025202308687,0.2229
435,energy,57,2.52149954597259,0.1407
436,energy,58,3.0013678931342267,0.0993
437,energy,59,2.890527770457378,0.0981
438,energy,60,3.412774382850311,0.0609
439,energy,61,3.8806221326578747,0.0432
440,energy,62,4.32754472446076,0.0297
441,energy_unit,0,3.4078661562839323,0.0526
442,energy_unit,1,5.983765185831249,0.015
443,energy_unit,2,3.994403274205105,0.0424
444,energy_unit,3,3.975332358476982,0.0383
445,energy_unit,4,3.9159985876439474,0.0398
446,energy_unit,5,2.331294384428674,0.1836
447,energy_unit,6,2.503385815421354,0.157
448,energy_unit,7,2.490272337647248,0.1535
449,energy_unit,8,2.5494245120721737,0.1549
450,energy_unit,9,2.0769443431468693,0.2283
451,energy_unit,10,2.479150523198267,0.1493
452,energy_unit,11,3.261955152144583,0.0902
453,energy_unit,12,2.376825228876064,0.1755
454,energy_unit,13,2.3559187941907727,0.1751
455,energy_unit,14,2.827713726967513,0.1207
456,energy_unit,15,1.4468268729255782,0.3188
457,energy_unit,16,1.7417350037420931,0.2809
458,energy_unit,17,0.07990266824111902,0.9478
459,energy_unit,18,0.6583266331290497,0.6521
460,energy_unit,19,1.286472184651448,0.3823
461,energy_unit,20,1.2474210678786013,0.4312
462,energy_unit,21,1.562569241821982,0.3481
463,energy_unit,22,1.1345741061310899,0.4969
464,energy_unit,23,1.2051659000114165,0.4836
465,energy_unit,24,1.1681389889726843,0.5433
466,energy_unit,25,0.8255429063561905,0.6354
467,energy_unit,26,1.313356735185847,0.4682
468,energy_unit,27,1.471501425675913,0.4436
469,energy_unit,28,2.754856288888061,0.2027
470,energy_unit,29,2.4607296845413877,0.2458
471,energy_unit,30,2.7154350440851793,0.1842
472,energy_unit,31,3.075635242169182,0.1288
473,energy_unit,32,4.611410015547009,0.0466
474,energy_unit,33,6.304682749462174,0.0167
475,energy_unit,34,5.143314211495825,0.0421
476,energy_unit,35,4.576684142971243,0.0566
477,energy_unit,36,3.85646177152731,0.0891
478,energy_unit,37,4.113818544654816,0.0729
479,energy_unit,38,6.904485514726599,0.0135
480,energy_unit,39,6.32631110037293,0.0153
481,energy_unit,40,6.295443923929393,0.0179
482,energy_unit,41,6.51845885595486,0.0144
483,energy_unit,42,6.632151090439932,0.0136
484,energy_unit,43,6.703007295209182,0.0106
485,energy_unit,44,6.494418269537308,0.0126
