,dist_type,layer,pseudo-F,p-value
104,centroid_cosine_unit,41,6.175795471550695,0.0001
105,centroid_cosine_unit,42,6.085396190277433,0.0001
106,centroid_cosine_unit,43,6.6245556767169775,0.0001
107,centroid_cosine_unit,44,6.287171306811064,0.0001
108,centroid_cosine_unit,45,5.562542667579545,0.0001
109,centroid_cosine_unit,46,5.858343535632452,0.0001
110,centroid_cosine_unit,47,5.758588603403266,0.0001
111,centroid_cosine_unit,48,5.600392619307674,0.0002
112,centroid_cosine_unit,49,5.299251339647465,0.0003
113,centroid_cosine_unit,50,5.401247091520821,0.0002
114,centroid_cosine_unit,51,5.345919391909387,0.0001
115,centroid_cosine_unit,52,5.301001657885101,0.0001
116,centroid_cosine_unit,53,5.23933532435866,0.0001
117,centroid_cosine_unit,54,5.062310451058468,0.0003
118,centroid_cosine_unit,55,5.380492504617235,0.0001
119,centroid_cosine_unit,56,5.865207203439109,0.0001
120,centroid_cosine_unit,57,5.8025188265124354,0.0001
121,centroid_cosine_unit,58,6.155772931169393,0.0001
122,centroid_cosine_unit,59,6.170854485939185,0.0001
123,centroid_cosine_unit,60,6.282545502257,0.0001
124,centroid_cosine_unit,61,6.499736309260412,0.0001
125,centroid_cosine_unit,62,6.739098453180706,0.0001
126,centroid_euclidean,0,2.321690408166569,0.0001
127,centroid_euclidean,1,2.3006111233155315,0.0074
128,centroid_euclidean,2,1.9220589134548842,0.0023
129,centroid_euclidean,3,1.958947160432537,0.002
130,centroid_euclidean,4,1.9457455332332358,0.0029
131,centroid_euclidean,5,1.8055818929950243,0.0188
132,centroid_euclidean,6,1.9388300768919864,0.0095
133,centroid_euclidean,7,2.1177725091706066,0.0034
134,centroid_euclidean,8,1.9136951381478862,0.0103
135,centroid_euclidean,9,2.68851828301647,0.0001
136,centroid_euclidean,10,2.221822696146496,0.002
137,centroid_euclidean,11,2.5048967277999195,0.0064
138,centroid_euclidean,12,2.8166270638342357,0.0001
139,centroid_euclidean,13,2.928953328020999,0.0001
