,dist_type,layer,R,p-value
102,centroid_cosine_unit,39,0.16981578947368423,0.0026
103,centroid_cosine_unit,40,0.20034473684210521,0.0007
104,centroid_cosine_unit,41,0.18913947368421047,0.0009
105,centroid_cosine_unit,42,0.1851447368421051,0.0008
106,centroid_cosine_unit,43,0.20578947368421044,0.0003
107,centroid_cosine_unit,44,0.195528947368421,0.0008
108,centroid_cosine_unit,45,0.16652368421052646,0.0025
109,centroid_cosine_unit,46,0.18384999999999987,0.0018
110,centroid_cosine_unit,47,0.17890789473684213,0.0014
111,centroid_cosine_unit,48,0.1706526315789474,0.0026
112,centroid_cosine_unit,49,0.16191578947368424,0.0032
113,centroid_cosine_unit,50,0.16459736842105255,0.0038
114,centroid_cosine_unit,51,0.1647973684210526,0.0027
115,centroid_cosine_unit,52,0.16547105263157907,0.0023
116,centroid_cosine_unit,53,0.15830000000000016,0.0036
117,centroid_cosine_unit,54,0.1520657894736843,0.0048
118,centroid_cosine_unit,55,0.14784999999999998,0.0058
119,centroid_cosine_unit,56,0.1683026315789473,0.0029
120,centroid_cosine_unit,57,0.16301842105263145,0.0028
121,centroid_cosine_unit,58,0.17759736842105275,0.0009
122,centroid_cosine_unit,59,0.1815894736842106,0.001
123,centroid_cosine_unit,60,0.18458947368421066,0.0003
124,centroid_cosine_unit,61,0.20189473684210532,0.0002
125,centroid_cosine_unit,62,0.22454210526315793,0.0001
126,centroid_euclidean,0,0.03801578947368416,0.2317
127,centroid_euclidean,1,0.005805263157894753,0.4105
128,centroid_euclidean,2,0.008252631578947437,0.4025
129,centroid_euclidean,3,0.013657894736842018,0.3758
130,centroid_euclidean,4,0.011315789473684145,0.3849
131,centroid_euclidean,5,0.010305263157894717,0.3775
132,centroid_euclidean,6,0.011789473684210523,0.3688
133,centroid_euclidean,7,0.021699999999999837,0.2978
134,centroid_euclidean,8,-0.0031894736842105866,0.4932
135,centroid_euclidean,9,0.06311052631578944,0.1078
136,centroid_euclidean,10,0.04136842105263164,0.1879
137,centroid_euclidean,11,0.030815789473684286,0.2351
138,centroid_euclidean,12,0.08201052631578949,0.065
139,centroid_euclidean,13,0.09415789473684205,0.0441
140,centroid_euclidean,14,0.11930526315789483,0.017
141,centroid_euclidean,15,0.10431578947368418,0.032
142,centroid_euclidean,16,0.04955263157894728,0.1474
143,centroid_euclidean,17,0.09513157894736847,0.0352
144,centroid_euclidean,18,0.1404894736842105,0.008
145,centroid_euclidean,19,0.09995263157894728,0.0256
146,centroid_euclidean,20,0.1527684210526317,0.0037
147,centroid_euclidean,21,0.23268421052631577,0.0001
148,centroid_euclidean,22,0.15756315789473685,0.004
149,centroid_euclidean,23,0.1064684210526315,0.0257
150,centroid_euclidean,24,0.06823684210526314,0.087
151,centroid_euclidean,25,0.06631052631578938,0.0895
152,centroid_euclidean,26,0.09124736842105252,0.0301
153,centroid_euclidean,27,0.09416315789473682,0.0281
154,centroid_euclidean,28,0.08698421052631584,0.039
155,centroid_euclidean,29,0.07615789473684202,0.0563
156,centroid_euclidean,30,0.03921052631578955,0.1702
157,centroid_euclidean,31,0.06904210526315789,0.0695
158,centroid_euclidean,32,0.08913684210526317,0.0354
159,centroid_euclidean,33,0.09244210526315792,0.0305
160,centroid_euclidean,34,0.08906842105263155,0.0351
161,centroid_euclidean,35,0.08745789473684204,0.0355
162,centroid_euclidean,36,0.0700552631578946,0.0615
163,centroid_euclidean,37,0.09466842105263162,0.0286
164,centroid_euclidean,38,0.11362631578947377,0.0117
165,centroid_euclidean,39,0.08716315789473686,0.0323
166,centroid_euclidean,40,0.10278157894736835,0.0186
167,centroid_euclidean,41,0.11892105263157896,0.0119
168,centroid_euclidean,42,0.1109947368421053,0.0172
169,centroid_euclidean,43,0.11924210526315797,0.0091
170,centroid_euclidean,44,0.10768947368421056,0.0178
171,centroid_euclidean,45,0.07837894736842113,0.0534
172,centroid_euclidean,46,0.08678947368421053,0.038
173,centroid_euclidean,47,0.08730526315789468,0.038
174,centroid_euclidean,48,0.07754736842105273,0.0506
175,centroid_euclidean,49,0.06810000000000008,0.0681
176,centroid_euclidean,50,0.08206315789473681,0.0459
177,centroid_euclidean,51,0.08176842105263145,0.0431
178,centroid_euclidean,52,0.07996842105263158,0.0454
179,centroid_euclidean,53,0.07966842105263162,0.0461
180,centroid_euclidean,54,0.08354210526315785,0.0423
181,centroid_euclidean,55,0.09393684210526308,0.0266
182,centroid_euclidean,56,0.13042105263157905,0.0066
183,centroid_euclidean,57,0.147642105263158,0.0035
184,centroid_euclidean,58,0.1543315789473683,0.0028
185,centroid_euclidean,59,0.1706368421052631,0.0012
186,centroid_euclidean,60,0.15963157894736843,0.0027
187,centroid_euclidean,61,0.1622631578947369,0.0015
188,centroid_euclidean,62,0.1396736842105264,0.0035
189,centroid_euclidean_unit,0,0.037989473684210504,0.2372
190,centroid_euclidean_unit,1,0.01592105263157892,0.3358
191,centroid_euclidean_unit,2,0.021957894736842183,0.3179
192,centroid_euclidean_unit,3,0.023978947368421218,0.3022
193,centroid_euclidean_unit,4,0.021184210526315854,0.3176
194,centroid_euclidean_unit,5,0.01034210526315791,0.3792
195,centroid_euclidean_unit,6,0.015847368421052534,0.3468
196,centroid_euclidean_unit,7,0.03189473684210533,0.2473
197,centroid_euclidean_unit,8,0.0012947368421052541,0.4594
198,centroid_euclidean_unit,9,0.06033684210526314,0.1146
199,centroid_euclidean_unit,10,0.0381684210526317,0.2027
200,centroid_euclidean_unit,11,0.06965789473684209,0.0863
201,centroid_euclidean_unit,12,0.07500526315789477,0.0757
202,centroid_euclidean_unit,13,0.08986315789473677,0.0491
203,centroid_euclidean_unit,14,0.12195789473684218,0.0145
204,centroid_euclidean_unit,15,0.17581842105263157,0.001
205,centroid_euclidean_unit,16,0.11838947368421049,0.0177
206,centroid_euclidean_unit,17,0.1514315789473685,0.0052
207,centroid_euclidean_unit,18,0.12488421052631565,0.013
208,centroid_euclidean_unit,19,0.09216315789473686,0.0428
209,centroid_euclidean_unit,20,0.12732631578947376,0.0117
210,centroid_euclidean_unit,21,0.1857842105263157,0.0012
211,centroid_euclidean_unit,22,0.16437894736842104,0.0028
212,centroid_euclidean_unit,23,0.12935263157894739,0.012
213,centroid_euclidean_unit,24,0.07130526315789461,0.0817
214,centroid_euclidean_unit,25,0.058557894736842156,0.1138
215,centroid_euclidean_unit,26,0.10259999999999986,0.0293
216,centroid_euclidean_unit,27,0.12379473684210525,0.0151
217,centroid_euclidean_unit,28,0.13135789473684212,0.0115
218,centroid_euclidean_unit,29,0.12894210526315786,0.0118
219,centroid_euclidean_unit,30,0.18615000000000015,0.0006
220,centroid_euclidean_unit,31,0.1791105263157895,0.0014
221,centroid_euclidean_unit,32,0.21253684210526302,0.0003
222,centroid_euclidean_unit,33,0.19098684210526323,0.0005
223,centroid_euclidean_unit,34,0.18941052631578945,0.0017
224,centroid_euclidean_unit,35,0.18091578947368414,0.0014
225,centroid_euclidean_unit,36,0.16624736842105253,0.0039
226,centroid_euclidean_unit,37,0.16226842105263167,0.0036
227,centroid_euclidean_unit,38,0.17010526315789462,0.0024
228,centroid_euclidean_unit,39,0.16568947368421058,0.0038
229,centroid_euclidean_unit,40,0.19566315789473693,0.0011
230,centroid_euclidean_unit,41,0.18692105263157882,0.0015
231,centroid_euclidean_unit,42,0.18251052631578954,0.0007
232,centroid_euclidean_unit,43,0.20082631578947363,0.0007
233,centroid_euclidean_unit,44,0.19169473684210525,0.0008
234,centroid_euclidean_unit,45,0.16339473684210526,0.0027
235,centroid_euclidean_unit,46,0.1805578947368421,0.0015
236,centroid_euclidean_unit,47,0.17462368421052638,0.0025
237,centroid_euclidean_unit,48,0.1670684210526316,0.0036
238,centroid_euclidean_unit,49,0.1590000000000001,0.0045
239,centroid_euclidean_unit,50,0.16158947368421062,0.0031
240,centroid_euclidean_unit,51,0.162357894736842,0.0031
241,centroid_euclidean_unit,52,0.16369999999999998,0.0027
242,centroid_euclidean_unit,53,0.15789999999999998,0.005
243,centroid_euclidean_unit,54,0.15163157894736856,0.0061
244,centroid_euclidean_unit,55,0.14899473684210535,0.0044
245,centroid_euclidean_unit,56,0.16959736842105252,0.0023
246,centroid_euclidean_unit,57,0.1648894736842106,0.0028
247,centroid_euclidean_unit,58,0.17853684210526327,0.0014
248,centroid_euclidean_unit,59,0.18191578947368423,0.0004
249,centroid_euclidean_unit,60,0.18509999999999988,0.0006
250,centroid_euclidean_unit,61,0.20246315789473698,0.0004
251,centroid_euclidean_unit,62,0.22508421052631575,0.0003
252,earth_mover,0,0.15634736842105273,0.0016
253,earth_mover,1,0.10087368421052637,0.0243
254,earth_mover,2,0.11616842105263156,0.0116
255,earth_mover,3,0.12377368421052637,0.0072
256,earth_mover,4,0.12517368421052624,0.0071
257,earth_mover,5,0.11803157894736846,0.0091
258,earth_mover,6,0.13377894736842114,0.0047
259,earth_mover,7,0.14406842105263154,0.0034
260,earth_mover,8,0.11667368421052636,0.0113
261,earth_mover,9,0.16874210526315775,0.0011
262,earth_mover,10,0.17,0.0014
263,earth_mover,11,0.14886842105263165,0.0037
264,earth_mover,12,0.20149473684210534,0.0001
265,earth_mover,13,0.22206842105263158,0.0001
266,earth_mover,14,0.23472105263157894,0.0001
267,earth_mover,15,0.18580000000000016,0.0012
268,earth_mover,16,0.09642631578947372,0.0329
269,earth_mover,17,0.10562631578947355,0.0239
270,earth_mover,18,0.1209999999999999,0.0178
271,earth_mover,19,0.1404315789473684,0.0057
272,earth_mover,20,0.14863684210526312,0.0053
273,earth_mover,21,0.22382631578947385,0.0002
274,earth_mover,22,0.1429684210526316,0.0066
275,earth_mover,23,0.11093684210526304,0.0207
276,earth_mover,24,0.07670526315789478,0.072
277,earth_mover,25,0.0810894736842104,0.0602
278,earth_mover,26,0.11955789473684204,0.0138
279,earth_mover,27,0.09448421052631584,0.031
280,earth_mover,28,0.10602631578947373,0.0165
281,earth_mover,29,0.09455789473684205,0.0236
282,earth_mover,30,0.064742105263158,0.0778
283,earth_mover,31,0.10044210526315796,0.0202
284,earth_mover,32,0.12885789473684212,0.0063
285,earth_mover,33,0.1379736842105262,0.0045
286,earth_mover,34,0.13093157894736845,0.0073
287,earth_mover,35,0.12658421052631585,0.0061
288,earth_mover,36,0.10041578947368411,0.0194
289,earth_mover,37,0.11305263157894735,0.0141
290,earth_mover,38,0.12997368421052635,0.0063
291,earth_mover,39,0.10808947368421054,0.0157
292,earth_mover,40,0.12524210526315788,0.0074
293,earth_mover,41,0.15374736842105252,0.0021
294,earth_mover,42,0.14531578947368426,0.0035
295,earth_mover,43,0.14672631578947368,0.0029
296,earth_mover,44,0.1351263157894737,0.004
297,earth_mover,45,0.1002368421052631,0.0232
298,earth_mover,46,0.11118421052631586,0.0133
299,earth_mover,47,0.11719473684210528,0.0111
300,earth_mover,48,0.11306842105263165,0.0125
301,earth_mover,49,0.10617368421052614,0.0171
302,earth_mover,50,0.11906842105263155,0.0111
303,earth_mover,51,0.12045789473684207,0.0079
304,earth_mover,52,0.12157894736842108,0.0072
305,earth_mover,53,0.12483157894736852,0.0074
306,earth_mover,54,0.12804736842105258,0.0056
307,earth_mover,55,0.14497368421052634,0.0029
308,earth_mover,56,0.17930526315789483,0.0011
309,earth_mover,57,0.169742105263158,0.0011
310,earth_mover,58,0.17511578947368434,0.0009
311,earth_mover,59,0.17598947368421053,0.0005
312,earth_mover,60,0.16630526315789462,0.0011
313,earth_mover,61,0.17357368421052627,0.001
314,earth_mover,62,0.16216842105263163,0.0014
315,earth_mover_unit,0,0.15631052631578937,0.0021
316,earth_mover_unit,1,0.1363368421052632,0.0035
317,earth_mover_unit,2,0.13992105263157903,0.0025
318,earth_mover_unit,3,0.1447105263157894,0.003
319,earth_mover_unit,4,0.1427684210526317,0.0036
320,earth_mover_unit,5,0.12291578947368412,0.0081
321,earth_mover_unit,6,0.1432631578947368,0.0034
322,earth_mover_unit,7,0.15887368421052622,0.0016
323,earth_mover_unit,8,0.12885263157894733,0.0058
324,earth_mover_unit,9,0.1953421052631579,0.0003
325,earth_mover_unit,10,0.16809473684210532,0.0009
326,earth_mover_unit,11,0.2108526315789473,0.0001
327,earth_mover_unit,12,0.16832105263157907,0.0017
328,earth_mover_unit,13,0.18732631578947376,0.0002
329,earth_mover_unit,14,0.20598421052631577,0.0004
330,earth_mover_unit,15,0.28392105263157896,0.0001
331,earth_mover_unit,16,0.20739473684210538,0.0002
332,earth_mover_unit,17,0.22366315789473679,0.0002
333,earth_mover_unit,18,0.1430421052631578,0.0066
334,earth_mover_unit,19,0.12968947368421052,0.0096
335,earth_mover_unit,20,0.13119999999999998,0.0092
336,earth_mover_unit,21,0.16336315789473685,0.0024
337,earth_mover_unit,22,0.1345105263157895,0.0074
338,earth_mover_unit,23,0.1318842105263158,0.0084
339,earth_mover_unit,24,0.06021578947368421,0.1022
340,earth_mover_unit,25,0.05067368421052629,0.1352
341,earth_mover_unit,26,0.10366315789473679,0.0237
342,earth_mover_unit,27,0.14956842105263157,0.0054
343,earth_mover_unit,28,0.1351631578947369,0.007
344,earth_mover_unit,29,0.14101052631578942,0.0055
345,earth_mover_unit,30,0.15859473684210518,0.0027
346,earth_mover_unit,31,0.14747368421052634,0.0046
347,earth_mover_unit,32,0.17225789473684214,0.001
348,earth_mover_unit,33,0.16903157894736837,0.0016
349,earth_mover_unit,34,0.14305263157894735,0.0051
350,earth_mover_unit,35,0.1329684210526316,0.0093
351,earth_mover_unit,36,0.12024210526315787,0.0148
352,earth_mover_unit,37,0.11803684210526323,0.0161
353,earth_mover_unit,38,0.12508421052631574,0.0126
354,earth_mover_unit,39,0.12258947368421051,0.0132
355,earth_mover_unit,40,0.1430631578947367,0.0053
356,earth_mover_unit,41,0.15117894736842108,0.0036
357,earth_mover_unit,42,0.15580000000000016,0.0029
358,earth_mover_unit,43,0.1738105263157894,0.0014
359,earth_mover_unit,44,0.16657894736842108,0.0019
360,earth_mover_unit,45,0.12808947368421053,0.0106
361,earth_mover_unit,46,0.13895789473684214,0.0068
362,earth_mover_unit,47,0.1394947368421052,0.0087
363,earth_mover_unit,48,0.13033684210526314,0.0104
364,earth_mover_unit,49,0.11755789473684208,0.0152
365,earth_mover_unit,50,0.12698947368421043,0.0103
366,earth_mover_unit,51,0.12895789473684216,0.0116
367,earth_mover_unit,52,0.13155263157894725,0.0111
368,earth_mover_unit,53,0.12602631578947374,0.01
369,earth_mover_unit,54,0.11477894736842102,0.0145
370,earth_mover_unit,55,0.12086842105263143,0.0113
371,earth_mover_unit,56,0.13746315789473698,0.0063
372,earth_mover_unit,57,0.1364105263157896,0.0062
373,earth_mover_unit,58,0.17091052631578937,0.0013
374,earth_mover_unit,59,0.19229999999999992,0.0006
